Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
21,�scar Aranda,es ESP,FW,Famalic�o,22-229,2002,13,13,1.058,11.8,0.25,0.08,0.34,0.17,0.08,0.17,0.25,0.00,0.24,0.10,0.10,0.19,2.54,4.66,4.41,0.26,0.09,0.34,0.17,0.26,0.23,0.10,0.33,0.10,0.20,Matches
22,Henrique Ara�jo,pt POR,FW,Arouca,22-330,2002,9,5,441,4.9,0.41,0.00,0.41,0.41,0.00,0.00,0.41,0.00,0.41,0.41,0.02,0.45,1.22,2.24,4.29,0.41,0.00,0.41,0.41,0.41,0.42,0.03,0.44,0.42,0.44,Matches
23,Maximiliano Ara�jo,uy URU,"MF,DF",Sporting CP,24-303,2000,9,4,402,4.5,0.22,0.00,0.22,0.22,0.00,0.00,0.00,0.00,0.09,0.09,0.22,0.31,1.56,4.44,11.8,0.22,0.00,0.22,0.22,0.22,0.09,0.22,0.31,0.09,0.31,Matches
24,Tom�s Ara�jo,pt POR,DF,Benfica,22-212,2002,10,10,891,9.9,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.02,0.07,1.52,6.46,1.01,0.00,0.10,0.10,0.00,0.10,0.04,0.02,0.07,0.04,0.07,Matches
25,Telmo Arcanjo,cv CPV,FW,Vit�ria,23-176,2001,8,2,204,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.30,0.30,0.04,0.35,2.61,3.91,11.3,0.00,0.00,0.00,0.00,0.00,0.30,0.04,0.33,0.30,0.33,Matches
26,Bright Arrey-Mbi,de GER,DF,Braga,21-263,2003,7,7,595,6.6,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.02,0.02,0.30,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
27,Gustavo Assuncao,pt POR,MF,AVS Futebol,24-259,2000,8,8,651,7.2,0.28,0.00,0.28,0.00,0.28,0.28,0.69,0.00,0.24,0.01,0.03,0.04,0.14,3.33,0.56,0.28,0.00,0.28,0.00,0.00,0.23,0.03,0.27,0.01,0.05,Matches
28,Otavio Ataide,br BRA,DF,Porto,22-237,2002,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.11,0.11,0.01,0.13,0.86,5.57,1.14,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.13,0.11,0.13,Matches
29,Jo�o Aur�lio,pt POR,DF,Nacional,36-119,1988,2,0,36,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Fredrik Aursnes,no NOR,"MF,FW",Benfica,29-004,1995,10,10,811,9.0,0.11,0.22,0.33,0.11,0.00,0.00,0.00,0.00,0.07,0.07,0.19,0.26,2.11,6.22,6.56,0.11,0.22,0.33,0.11,0.33,0.06,0.19,0.25,0.06,0.25,Matches
