Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
89,Diego Collado,es ESP,"MF,FW",Gil Vicente FC,23-340,2001,5,0,24,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
90,F�bio Concei��o,pt POR,"DF,MF",Rio Ave,23-230,2001,10,1,348,3.9,0.00,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.15,0.28,4.36,2.82,9.49,0.00,0.26,0.26,0.00,0.26,0.11,0.16,0.27,0.11,0.27,Matches
91,Leo Cordeiro,br BRA,MF,Estrela,29-078,1995,13,11,1.014,11.3,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.07,0.07,0.03,0.10,1.42,5.13,2.21,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.10,0.07,0.10,Matches
92,F�lix Correia,pt POR,FW,Gil Vicente FC,23-327,2001,13,13,1.163,12.9,0.23,0.23,0.47,0.23,0.00,0.00,0.08,0.00,0.24,0.24,0.12,0.36,2.71,5.27,7.21,0.23,0.23,0.46,0.23,0.46,0.24,0.12,0.36,0.24,0.36,Matches
93,Alberto costa,pt POR,DF,Vit�ria,21-076,2003,6,3,315,3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.09,0.11,3.71,4.00,5.71,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.03,0.11,Matches
94,Bruno Xavier Almeida Costa,pt POR,"MF,FW",Nacional,27-239,1997,7,2,197,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,1.36,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.00,0.32,Matches
95,Diogo Costa,pt POR,GK,Porto,25-086,1999,13,13,1.17,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
96,Gon�alo Costa,pt POR,"DF,MF",Estoril,24-300,2000,6,1,141,1.6,0.63,0.00,0.63,0.63,0.00,0.00,0.63,0.00,0.06,0.06,0.13,0.19,5.63,3.13,4.38,0.64,0.00,0.64,0.64,0.64,0.06,0.12,0.18,0.06,0.18,Matches
97,H�lder Costa,ao ANG,"FW,MF",Estoril,30-337,1994,8,4,328,3.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,1.94,3.06,7.22,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
98,Jo�o Costa,pt POR,FW,Santa Clara,24-282,2000,8,1,124,1.4,0.71,0.00,0.71,0.71,0.00,0.00,0.00,0.00,0.86,0.86,0.00,0.86,0.00,1.43,2.14,0.73,0.00,0.73,0.73,0.73,0.86,0.00,0.86,0.86,0.86,Matches
99,Michel Costa,br BRA,MF,Estoril,22-360,2001,10,7,597,6.6,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.02,0.03,0.45,3.94,1.21,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
100,Sandro Cruz,ao ANG,DF,Gil Vicente FC,23-216,2001,11,11,975,10.8,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.09,0.01,0.01,0.06,0.06,1.11,2.50,1.76,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
101,Augusto Dabo,gw GNB,DF,Boavista,20-276,2004,7,2,172,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.53,3.16,1.05,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
102,Amadou Dante,ml MLI,"DF,MF",Arouca,24-068,2000,9,9,758,8.4,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.01,0.01,0.07,0.08,2.14,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches
103,Mathias De Amorim,fr FRA,MF,Famalic�o,20-004,2004,6,0,173,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.05,0.05,0.00,0.05,2.11,6.32,5.79,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
104,Zeno Debast,be BEL,DF,Sporting CP,21-051,2003,12,8,684,7.6,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.08,0.09,1.32,9.47,0.26,0.00,0.13,0.13,0.00,0.13,0.01,0.08,0.09,0.01,0.09,Matches
105,Dep�,ao ANG,FW,Gil Vicente FC,24-341,2000,3,0,43,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53,Matches
106,Derick,br BRA,"DF,MF",Farense,31-104,1993,6,5,392,4.4,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.07,0.09,2.05,1.14,3.41,0.00,0.23,0.23,0.00,0.23,0.03,0.06,0.09,0.03,0.09,Matches
107,�ngel Di Mar�a,ar ARG,FW,Benfica,36-304,1988,11,9,755,8.4,0.48,0.24,0.71,0.24,0.24,0.24,0.24,0.00,0.50,0.31,0.30,0.62,4.17,9.29,11.7,0.48,0.24,0.72,0.24,0.48,0.50,0.30,0.80,0.31,0.61,Matches
108,Matheus Dias,br BRA,MF,Nacional,27-311,1997,12,12,960,10.7,0.00,0.09,0.09,0.00,0.00,0.00,0.37,0.00,0.02,0.02,0.07,0.09,0.93,4.21,0.37,0.00,0.09,0.09,0.00,0.09,0.02,0.07,0.09,0.02,0.09,Matches
109,Tiago Dias,pt POR,FW,Casa Pia,26-224,1998,2,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,13.3,0.00,16.7,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.87,0.00,0.87,Matches
110,Ousmane Diomande,ci CIV,DF,Sporting CP,21-010,2003,12,11,963,10.7,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.07,0.07,0.03,0.10,0.28,2.80,0.09,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches
111,Tiago Djal�,pt POR,DF,Porto,24-249,2000,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.03,0.07,0.33,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
112,Maxime Dominguez,ch SUI,MF,Gil Vicente FC,28-317,1996,4,3,249,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.11,0.21,1.79,3.93,3.21,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches
113,Issiar Dram�,ml MLI,DF,Estrela,25-302,1999,6,3,279,3.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
114,Dudu,br BRA,"MF,FW",Nacional,25-126,1999,4,2,184,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,1.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.29,0.28,0.29,Matches
115,Marcus Edwards,eng ENG,"MF,FW",Sporting CP,26-011,1998,6,1,111,1.2,0.83,0.00,0.83,0.83,0.00,0.00,0.00,0.00,0.50,0.50,0.17,0.58,12.5,9.17,13.3,0.81,0.00,0.81,0.81,0.81,0.46,0.14,0.60,0.46,0.60,Matches
116,Marvin Elimbi,fr FRA,DF,Gil Vicente FC,21-298,2003,1,0,14,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
117,Ricardo Esgaio,pt POR,"FW,DF",Sporting CP,31-212,1993,2,0,30,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.3,3.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
118,Tiago Esgaio,pt POR,DF,Arouca,29-135,1995,13,13,1.162,12.9,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.05,0.05,0.06,0.11,0.85,3.64,3.33,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
119,Dario Essugo,pt POR,MF,Sporting CP,19-275,2005,2,0,18,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
120,Lu�s Esteves,pt POR,MF,Nacional,26-249,1998,12,12,1.075,11.9,0.00,0.08,0.08,0.00,0.00,0.00,0.34,0.00,0.12,0.12,0.11,0.23,2.02,5.13,3.03,0.00,0.08,0.08,0.00,0.08,0.12,0.11,0.23,0.12,0.23,Matches
121,Stephen Eust�quio,ca CAN,MF,Porto,27-359,1996,11,6,553,6.1,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.05,0.05,0.10,0.15,0.66,10.2,1.48,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.14,0.05,0.14,Matches
122,Evanilson,br BRA,FW,Porto,25-069,1999,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
123,Fabiano,br BRA,DF,Moreirense,24-275,2000,9,7,604,6.7,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.01,0.01,1.64,3.13,1.94,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
124,Claudio Falc�o,br BRA,"MF,DF",Farense,30-164,1994,13,13,1.141,12.7,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.08,0.08,0.08,0.03,0.11,0.24,2.99,0.24,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11,Matches
125,Jorge Filipe Oliveira Fernandes,pt POR,DF,Vit�ria,27-256,1997,4,3,235,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.12,0.15,0.00,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.16,0.03,0.16,Matches
126,Martim Fernandes,pt POR,DF,Porto,18-331,2006,11,8,712,7.9,0.00,0.51,0.51,0.00,0.00,0.00,0.13,0.00,0.08,0.08,0.44,0.52,3.16,2.91,8.99,0.00,0.51,0.51,0.00,0.51,0.07,0.44,0.51,0.07,0.51,Matches
127,Mateus Fernandes,pt POR,"FW,MF",Sporting CP,20-157,2004,1,0,26,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,13.3,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.08,0.25,0.33,0.08,0.33,Matches
128,Roger Fernandes,gw GNB,"FW,DF",Braga,19-023,2005,13,10,753,8.4,0.12,0.12,0.24,0.12,0.00,0.00,0.12,0.00,0.12,0.12,0.20,0.32,4.76,2.26,8.45,0.12,0.12,0.24,0.12,0.24,0.12,0.21,0.33,0.12,0.33,Matches
129,R�ben Fernandes,pt POR,DF,Gil Vicente FC,38-222,1986,13,13,1.154,12.8,0.08,0.00,0.08,0.08,0.00,0.00,0.16,0.00,0.03,0.03,0.01,0.05,0.70,2.97,0.47,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,Matches
130,Roberto F�rnandez,es ESP,FW,Braga,22-164,2002,12,5,429,4.8,0.21,0.00,0.21,0.21,0.00,0.00,0.21,0.00,0.27,0.27,0.04,0.29,1.04,0.83,5.42,0.21,0.00,0.21,0.21,0.21,0.27,0.03,0.30,0.27,0.30,Matches
131,Jo�o Ferreira Barros,pt POR,"MF,FW",Boavista,18-339,2006,5,1,99,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.09,0.27,0.91,1.82,1.82,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.29,0.24,0.29,Matches
132,Filipe Ferreira,pt POR,DF,Boavista,34-078,1990,13,13,1.118,12.4,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.01,0.01,0.02,0.03,1.13,2.82,0.81,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
133,Fernando Ferreira Fonseca,pt POR,DF,AVS Futebol,27-275,1997,10,9,829,9.2,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.05,0.05,1.96,3.59,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
134,Jo�o Ferreira,pt POR,DF,Braga,23-267,2001,9,8,746,8.3,0.00,0.12,0.12,0.00,0.00,0.00,0.48,0.00,0.01,0.01,0.08,0.10,2.41,4.22,1.93,0.00,0.12,0.12,0.00,0.12,0.01,0.09,0.10,0.01,0.10,Matches
135,Marcelo dos Santos Ferreira,br BRA,DF,Moreirense,35-140,1989,13,13,1.17,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.02,0.02,0.01,0.03,0.15,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
136,Pedro Ferreira,pt POR,MF,Santa Clara,26-344,1998,13,10,829,9.2,0.00,0.11,0.11,0.00,0.00,0.00,0.33,0.00,0.03,0.03,0.05,0.09,0.54,2.50,1.20,0.00,0.11,0.11,0.00,0.11,0.03,0.06,0.09,0.03,0.09,Matches
137,Tiago Ferreira,pt POR,FW,Estrela,22-271,2002,1,1,39,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,2.50,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
138,Daniel Figueira,pt POR,GK,Estoril,26-147,1998,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
139,Tiago Fonseca Morais,pt POR,"FW,MF",Rio Ave,21-102,2003,12,9,639,7.1,0.14,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.18,0.18,0.06,0.24,1.69,3.10,6.62,0.14,0.00,0.14,0.14,0.14,0.18,0.06,0.24,0.18,0.24,Matches
140,Jos� Font�n,es ESP,DF,Arouca,24-307,2000,10,10,887,9.9,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.01,0.01,0.01,0.01,0.10,2.12,0.10,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
141,Jos� Fonte,pt POR,DF,Casa Pia,40-358,1983,7,6,541,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.07,0.07,0.00,0.07,0.00,1.00,0.17,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
142,Lucas Fran�a,br BRA,GK,Nacional,28-330,1996,12,12,1.08,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
143,Andr� Franco,pt POR,"FW,MF",Porto,26-246,1998,6,0,96,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.64,0.64,2.73,8.18,7.27,0.00,0.00,0.00,0.00,0.00,0.02,0.66,0.69,0.02,0.69,Matches
144,Afonso freitas,pt POR,DF,Nacional,24-251,2000,1,0,19,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
145,Iv�n Fresneda,es ESP,DF,Sporting CP,20-077,2004,3,0,44,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
146,Godfried Frimpong,nl NED,DF,Moreirense,25-146,1999,13,13,1.17,13.0,0.00,0.08,0.08,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.12,0.12,0.92,2.23,3.38,0.00,0.08,0.08,0.00,0.08,0.00,0.12,0.13,0.00,0.13,Matches
147,Kanya Fujimoto,jp JPN,MF,Gil Vicente FC,25-166,1999,13,13,1.037,11.5,0.43,0.26,0.70,0.35,0.09,0.09,0.09,0.00,0.23,0.16,0.21,0.37,1.22,2.96,4.96,0.43,0.26,0.69,0.35,0.61,0.22,0.21,0.43,0.15,0.36,Matches
148,Taichi Fukui,jp JPN,MF,Arouca,20-152,2004,11,10,865,9.6,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.03,0.03,0.05,0.08,0.52,3.33,1.25,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
149,Tiago Gabriel,pt POR,DF,Estrela,19-354,2004,5,5,440,4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.41,2.65,0.20,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
150,Galeno,br BRA,"FW,DF",Porto,27-053,1997,12,11,975,10.8,0.74,0.00,0.74,0.37,0.37,0.37,0.19,0.00,0.66,0.37,0.17,0.54,3.06,3.43,9.44,0.74,0.00,0.74,0.37,0.37,0.66,0.17,0.83,0.37,0.54,Matches
151,Nino Galovi?,hr CRO,DF,Arouca,32-161,1992,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
152,Garc�a,br BRA,DF,Nacional,22-345,2002,12,12,1.045,11.6,0.00,0.09,0.09,0.00,0.00,0.00,0.09,0.00,0.02,0.02,0.14,0.16,1.29,2.93,2.76,0.00,0.09,0.09,0.00,0.09,0.01,0.14,0.15,0.01,0.15,Matches
153,Fabr�cio Garcia,cv CPV,"FW,MF",Estoril,23-224,2001,13,9,735,8.2,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.16,0.16,0.04,0.20,3.66,1.34,6.83,0.00,0.00,0.00,0.00,0.00,0.16,0.04,0.20,0.16,0.20,Matches
154,Santiago Garc�a,es ESP,MF,Gil Vicente FC,23-107,2001,8,6,533,5.9,0.34,0.34,0.68,0.34,0.00,0.00,1.02,0.00,0.05,0.05,0.15,0.20,0.68,3.39,2.37,0.34,0.34,0.68,0.34,0.68,0.04,0.16,0.20,0.04,0.20,Matches
155,Bruno Gaspar,ao ANG,DF,Vit�ria,31-237,1993,10,10,856,9.5,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.02,0.02,0.06,0.08,1.37,4.21,6.32,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
156,Mory Gbane,ci CIV,MF,Gil Vicente FC,23-355,2000,11,9,841,9.3,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.02,0.02,0.02,0.04,1.18,3.33,0.75,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
157,Geovanny,pt POR,MF,Farense,20-153,2004,6,1,164,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.00,3.33,2.78,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
158,Andr� Geraldes,pt POR,"MF,DF",Casa Pia,33-226,1991,11,8,697,7.7,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.04,0.04,0.08,0.13,1.17,2.47,4.29,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches
159,Isma�l Gharbi,es ESP,"MF,FW",Braga,20-248,2004,8,2,192,2.1,0.95,0.00,0.95,0.95,0.00,0.00,0.00,0.00,0.67,0.67,0.24,0.90,4.29,3.81,11.4,0.94,0.00,0.94,0.94,0.94,0.66,0.24,0.89,0.66,0.89,Matches
160,Jos� Gomes,pt POR,DF,Nacional,28-147,1996,12,12,1.053,11.7,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.03,0.03,0.09,0.13,1.03,3.08,3.76,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13,Matches
161,Pedro gomes,pt POR,DF,Boavista,21-193,2003,12,12,970,10.8,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.04,0.04,0.01,0.05,0.09,2.13,0.65,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
162,V�tor Gomes,pt POR,MF,Rio Ave,36-355,1987,4,0,38,0.4,0.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.50,0.00,12.5,0.00,0.00,2.37,2.37,0.00,2.37,0.00,1.53,1.53,0.00,1.53,Matches
163,Victor Gomez,es ESP,DF,Braga,24-257,2000,11,5,496,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.02,0.02,0.09,0.09,1.45,4.91,6.73,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
164,Nuno Gon�alo Moreira,pt POR,"FW,MF",Casa Pia,25-181,1999,12,9,801,8.9,0.22,0.22,0.45,0.22,0.00,0.00,0.00,0.00,0.24,0.24,0.10,0.34,2.02,4.94,7.08,0.22,0.22,0.45,0.22,0.45,0.23,0.10,0.34,0.23,0.34,Matches
165,Jo�o Gon�alves,pt POR,GK,Boavista,24-039,2000,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
166,Pedro Gon�alves,pt POR,"FW,MF",Sporting CP,26-169,1998,8,8,579,6.4,0.63,0.63,1.25,0.63,0.00,0.00,0.31,0.00,0.56,0.56,0.53,1.09,2.50,6.09,8.44,0.62,0.62,1.24,0.62,1.24,0.56,0.53,1.09,0.56,1.09,Matches
167,Cristo Gonz�lez,es ESP,MF,Arouca,27-051,1997,2,2,180,2.0,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.40,0.50,1.50,5.00,5.00,0.00,0.50,0.50,0.00,0.50,0.08,0.42,0.50,0.08,0.50,Matches
168,Mario Gonz�lez,es ESP,FW,Famalic�o,28-293,1996,12,2,408,4.5,0.44,0.44,0.89,0.44,0.00,0.00,0.00,0.00,0.31,0.31,0.11,0.40,0.67,0.89,4.22,0.44,0.44,0.88,0.44,0.88,0.30,0.11,0.41,0.30,0.41,Matches
169,Nicol�s Gonz�lez,es ESP,MF,Porto,22-346,2002,13,13,1.116,12.4,0.24,0.16,0.40,0.24,0.00,0.00,0.32,0.00,0.27,0.27,0.05,0.31,1.53,6.85,2.82,0.24,0.16,0.40,0.24,0.40,0.26,0.05,0.31,0.26,0.31,Matches
170,Jean Gorby,fr FRA,MF,Braga,22-142,2002,8,3,302,3.4,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.03,0.06,0.00,5.29,1.18,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
171,Jo�o Goulart Silva,pt POR,DF,Casa Pia,24-322,2000,13,13,1.169,13.0,0.08,0.00,0.08,0.08,0.00,0.00,0.08,0.00,0.06,0.06,0.04,0.10,0.23,1.46,0.08,0.08,0.00,0.08,0.08,0.08,0.06,0.04,0.10,0.06,0.10,Matches
172,Tiago Gouveia,pt POR,"FW,DF",Benfica,23-179,2001,3,0,85,0.9,1.11,1.11,2.22,1.11,0.00,0.00,1.11,0.00,0.89,0.89,0.78,1.56,5.56,7.78,13.3,1.06,1.06,2.12,1.06,2.12,0.85,0.70,1.55,0.85,1.55,Matches
173,Pablo Gozalbez,es ESP,"MF,FW",Arouca,23-228,2001,6,1,93,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,3.00,8.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
174,Jo�o Gra�a,pt POR,"MF,FW",Rio Ave,29-179,1995,4,1,179,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,2.00,2.50,2.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
175,Samuel Granada,br BRA,FW,AVS Futebol,24-308,2000,4,3,240,2.7,0.00,0.37,0.37,0.00,0.00,0.00,0.74,0.37,0.33,0.33,0.15,0.52,0.37,1.48,4.44,0.00,0.37,0.37,0.00,0.37,0.35,0.16,0.51,0.35,0.51,Matches
176,Jaume Grau,es ESP,MF,AVS Futebol,27-223,1997,10,8,686,7.6,0.13,0.00,0.13,0.13,0.00,0.00,0.66,0.00,0.03,0.03,0.05,0.07,0.39,3.82,0.79,0.13,0.00,0.13,0.13,0.13,0.02,0.05,0.07,0.02,0.07,Matches
177,Marko Gruji?,rs SRB,MF,Porto,28-245,1996,2,0,33,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.50,7.50,12.5,0.00,0.00,0.00,0.00,0.00,0.00,1.14,1.14,0.00,1.14,Matches
178,Rafik Guitane,fr FRA,"FW,MF",Estoril,25-202,1999,3,1,97,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.91,2.73,5.45,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
179,Rafik Guitane,fr FRA,FW,Braga,25-202,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
180,Deniz G�l,se SWE,FW,Porto,20-165,2004,3,0,47,0.5,2.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.60,0.60,0.00,0.60,2.00,2.00,4.00,1.91,0.00,1.91,1.91,1.91,0.49,0.00,0.49,0.49,0.49,Matches
181,Viktor Gy�keres,se SWE,FW,Sporting CP,26-193,1998,13,13,1.154,12.8,1.33,0.08,1.41,0.78,0.55,0.55,0.08,0.00,1.09,0.66,0.24,0.91,4.30,1.80,11.2,1.33,0.08,1.40,0.78,0.86,1.08,0.24,1.33,0.66,0.90,Matches
