Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Chutes do adv.,Chutes do adv. no gol,Gols sofridos,Defesas,"Defesas, %",Defesas difíceis,Cruzamentos do adversário,Tentativas de interceptação de cruzesamento e passe,Tentativas bem-sucedidas de interceptação de cruzamento e passe,"Tentativas bem-sucedidas de interceptação de cruzamento e passe, %",Participação em ataques de pontuação,Passes,Passes precisos,Passes precisos %,Passes chave,Passes chave precisos,Cartões amarelos,Cartões vermelhos,Faltas,Ações totais,Ações / com sucesso,Ações / com sucesso %,Erros graves,Falhas em gols
Samuel Portugal,FC Porto,31,1994-03-29,188,Canhoto,Brazil,€1.5M,2025-06-30,GK,2024/2025,173,10,983,123,36,8,26,76%,-,99,11,8,73%,1,368,246,67%,-,-,1,-,2,446,310,70%,-,-
Arthur Augusto,Uniao Desportiva Oliveirense,25,1999-08-29,192,Direita,Brazil,€300K,2022-06-30,GK,2024/2025,164,10,937,140,49,20,26,57%,-,123,3,1,33%,-,332,240,72%,-,-,1,-,2,403,288,71%,-,-
Jeimes,Pacos Ferreira,24,2001-04-28,188,-,Brazil,-,-,GK,2024/2025,166,10,917,128,40,14,23,62%,-,78,7,3,43%,-,325,204,63%,-,-,-,-,-,398,258,65%,-,-
Igor Stefanovic,Leixoes,37,1988-04-12,192,Direita,Serbia,-,2021-06-30,GK,2024/2025,173,9,899,113,40,14,24,63%,2,138,13,8,62%,-,264,190,72%,-,-,1,-,-,387,292,75%,1,1
Miguel Angel Angel Morro,FC Vizela U23,24,2000-09-11,193,Canhoto,Spain,€600K,2023-06-30,GK,2024/2025,180,8,748,81,34,8,20,71%,5,93,4,4,100%,1,271,215,79%,-,-,-,-,-,346,282,82%,-,-
Leandro Matheus,Sport Clube Uniao Torreense,24,2001-01-28,,-,Brazil,-,-,GK,2024/2025,184,6,602,71,24,5,19,79%,3,76,6,6,100%,1,198,131,66%,1,-,1,1,2,271,197,73%,2,1
Philip Tear,Portimonense U23,26,1998-08-26,187,-,"Spain, Sweden",€150K,2023-06-30,GK,2024/2025,171,5,486,63,24,9,13,59%,2,59,4,4,100%,-,142,116,82%,-,-,-,-,-,226,186,82%,-,-
Francesco Ruberto,Vizela,32,1993-03-19,185,Direita,"Switzerland, Italy",€200K,2023-06-30,GK,2024/2025,179,5,440,54,19,7,9,56%,1,67,2,2,100%,-,164,142,87%,-,-,-,-,-,209,179,86%,1,-
Miguel Oliveira,Penafiel,31,1994-05-25,196,Direita,Portugal,€200K,2022-06-30,GK,2024/2025,165,4,411,54,22,9,12,57%,-,60,1,-,0%,-,101,81,80%,-,-,-,-,-,132,101,77%,-,-
Thiago Silva,FC Arouca,28,1996-06-12,185,Direita,Brazil,€200K,2023-06-30,GK,2024/2025,167,4,404,64,22,7,13,65%,-,41,3,2,67%,-,150,106,71%,-,-,-,-,-,178,126,71%,-,-
Samuel Soares,SL Benfica,22,2002-06-15,190,Direita,Portugal,€3M,2025-06-30,GK,2024/2025,214,3,298,30,9,-,9,100%,1,34,4,3,75%,-,69,63,91%,-,-,-,-,-,91,84,92%,-,-
Pedro Mateus,Feirense,28,1996-09-27,189,Canhoto,Portugal,€275K,2021-06-30,GK,2024/2025,159,3,293,39,16,6,5,45%,-,29,2,1,50%,-,106,64,60%,-,-,1,-,-,128,78,61%,-,-
Kosuke Nakamura,Portimonense SC,30,1995-02-27,185,Direita,Japan,€700K,2023-06-30,GK,2024/2025,183,3,292,35,15,6,7,54%,2,50,6,4,67%,-,72,59,82%,-,-,-,-,-,111,90,81%,-,-
Samu,Maritimo,26,1999-05-12,188,Direita,"Portugal, France",€450K,2024-06-30,GK,2024/2025,168,3,290,33,11,6,5,45%,-,18,2,1,50%,-,78,71,91%,-,-,-,-,-,97,83,86%,-,-
Filipe Ferreira,Penafiel,28,1996-09-20,193,Direita,Portugal,€100K,2023-06-30,GK,2024/2025,176,3,288,35,15,3,11,79%,-,34,1,1,100%,-,90,64,71%,1,-,-,-,-,116,87,75%,-,-
Cristiano,-,34,1990-11-29,195,Direita,"Portugal, Germany",€200K,2022-06-30,GK,2024/2025,-,2,200,13,7,4,3,43%,-,13,1,1,100%,-,40,31,78%,-,-,-,-,-,51,38,75%,-,-
Pedro Souza,Benfica II,22,2002-06-29,,-,"Portugal, Brazil",€250K,2023-06-30,GK,2024/2025,-,2,199,15,3,1,2,67%,-,23,2,2,100%,-,45,39,87%,-,-,-,-,-,57,50,88%,-,-
Rodrigo Moura,Chaves,29,1996-01-25,198,Direita,Brazil,€300K,2024-06-30,GK,2024/2025,-,2,189,26,10,2,8,80%,-,26,-,-,-,-,65,48,74%,-,-,-,-,-,83,64,77%,-,-
Fábio Ferreira,Uniao Desportiva Leiria,27,1998-05-29,185,Direita,"Portugal, Switzerland",€150K,2022-06-30,GK,2024/2025,-,2,188,29,13,3,9,75%,-,14,-,-,-,-,66,57,86%,-,-,-,-,-,84,72,86%,-,-
Miguel Angel Morro Munoz,Vizela,,-,,-,Spain,-,-,GK,2024/2025,-,1,95,9,4,-,4,100%,2,28,2,2,100%,-,45,43,96%,-,-,1,-,-,74,72,97%,-,-
Zé Pedro,Pacos Ferreira,23,2002-04-06,186,Direita,Portugal,€100K,2022-06-30,GK,2024/2025,-,1,77,10,6,-,5,100%,-,5,-,-,-,-,22,14,64%,-,-,-,-,-,28,19,68%,-,-
Pedro Silva,Futebol Clube De Alverca,28,1997-02-13,189,Direita,Portugal,€300K,2024-06-30,GK,2024/2025,-,1,17,3,2,1,1,50%,-,2,-,-,-,-,4,3,75%,-,-,-,-,-,6,4,67%,-,-
Marcos Vinicius,Uniao Desportiva Leiria,22,2002-12-29,,-,Brazil,-,-,GK,2024/2025,-,1,7,-,-,-,-,-,-,1,-,-,-,-,2,1,50%,-,-,-,-,-,2,1,50%,-,-
João Cardoso,Famalicao U23,21,2004-02-16,,-,Portugal,-,-,GK,2024/2025,-,1,5,1,-,-,-,-,-,-,-,-,-,-,3,3,100%,-,-,-,-,-,3,3,100%,-,-
