Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Talocha,Tondela,35,1989-08-30,180,Canhoto,Portugal,€125K,2024-06-30,LDM,2024/2025,181,29,2210,91,67%,25,72%,52,5,1,-,65,71%,17,41%,3,18,28%,34,2.7,139,26,861,9,100%,86,37%,135,49%,23,71,76%,22,9,44%,14,106,35,-,32%,9%,34,-,3,68%,3,17,196,53%,60,28%,52,33%,18,3.42
Filipe Alves,Uniao Desportiva Oliveirense,33,1991-08-13,182,Direita,Brazil,€100K,2022-06-30,RCDM,2024/2025,170,25,2137,128,48%,49,47%,92,16,2,1,81,62%,11,73%,1,4,25%,10,1.73,94,22,914,-,-,22,18%,144,53%,23,80,59%,41,1,0%,40,133,50,1,30%,10%,28,2,2,77%,-,-,240,58%,60,52%,2,0%,12,1.79
Pedro Bicalho,Futebol Clube De Alverca,24,2001-04-23,179,Direita,Brazil,€1000K,2024-12-31,RCDM,2024/2025,185,33,2135,88,53%,38,63%,53,31,1,-,93,62%,28,64%,2,4,50%,26,0.95,103,29,1044,5,80%,34,38%,138,64%,21,33,55%,43,10,70%,28,102,33,-,35%,8%,27,3,-,85%,-,6,229,66%,60,52%,3,33%,16,2.85
Reko,Penafiel,29,1995-07-25,180,Direita,Portugal,€325K,2024-06-30,RCDM,2024/2025,171,31,2124,96,46%,35,60%,40,10,1,1,97,44%,23,30%,4,11,36%,25,2.48,141,29,728,10,90%,107,40%,94,46%,25,56,43%,39,7,14%,33,51,21,1,24%,16%,52,1,4,70%,-,11,162,53%,32,47%,17,12%,14,2.15
Agustin De Armas,Leixoes SC U23,20,2004-12-10,,-,United States of America,-,-,CDM,2024/2025,165,25,2105,315,53%,175,54%,128,145,11,4,123,67%,46,87%,1,1,100%,8,0.91,84,16,886,6,17%,21,43%,98,58%,22,45,56%,41,2,100%,45,124,44,-,38%,13%,26,15,-,86%,1,4,157,62%,46,59%,4,25%,8,0.39
Pedro Henrik Rocha Pelagio,Chaves,25,2000-04-21,181,Direita,Portugal,-,2025-06-30,RCDM,2024/2025,178,27,2099,121,48%,40,43%,54,10,-,-,64,67%,18,56%,-,6,0%,17,0.99,109,33,1037,10,100%,47,49%,153,60%,21,56,57%,54,6,83%,48,89,32,-,29%,0%,30,-,-,82%,-,10,253,64%,44,45%,13,23%,22,2
Ewerton,Penafiel,32,1992-12-01,181,Direita,Brazil,€550K,2024-06-30,LCDM,2024/2025,178,28,2013,121,55%,49,57%,43,1,-,-,67,76%,14,64%,2,6,33%,11,1.44,72,16,706,1,100%,22,32%,104,50%,20,57,60%,26,2,50%,32,108,38,2,45%,18%,15,-,-,77%,1,2,163,53%,29,45%,2,50%,11,0.89
Crystopher,Uniao Desportiva Leiria,26,1998-06-07,,-,Brazil,-,-,RCDM,2024/2025,187,30,1993,74,38%,36,42%,29,9,-,-,92,45%,29,55%,3,12,25%,49,3.7,122,23,917,23,78%,105,43%,124,60%,19,26,35%,16,10,50%,21,49,18,-,33%,6%,54,1,2,81%,7,26,231,70%,39,54%,19,21%,8,8.18
Soufiane Messeguem,Academico Viseu,24,2001-02-05,180,-,"Germany, Algeria",€450K,2026-06-30,LCDM,2024/2025,170,29,1981,135,48%,46,59%,60,15,3,1,105,51%,46,48%,1,6,17%,11,0.4,119,24,684,6,67%,31,48%,80,58%,22,50,42%,39,18,50%,36,73,19,-,36%,9%,54,3,3,75%,2,6,145,52%,42,33%,15,27%,12,3.27
Nuno Félix,Benfica II,21,2004-03-16,177,Direita,Portugal,€700K,2023-06-30,LCDM,2024/2025,179,27,1974,111,44%,41,37%,51,8,-,-,70,51%,16,50%,1,8,13%,26,2.79,77,15,953,2,100%,19,42%,114,75%,20,70,53%,24,6,33%,31,78,35,1,35%,4%,18,3,1,86%,3,4,182,73%,27,56%,6,0%,9,2.05
André Simões,Torreense U23,21,2003-08-17,176,-,Portugal,-,-,LCDM,2024/2025,181,26,1961,229,48%,149,50%,80,179,3,-,221,58%,131,68%,3,9,33%,34,3.2,132,21,1019,12,42%,112,54%,107,56%,19,33,48%,58,57,61%,62,102,43,-,35%,9%,67,14,1,84%,4,15,178,63%,58,60%,16,31%,4,5.48
Hélder Tavares,Tondela,35,1989-12-26,180,Direita,"Cape Verde, Portugal",€100K,2023-06-30,RCDM,2024/2025,178,28,1951,110,57%,41,68%,44,21,3,-,70,64%,16,56%,1,3,33%,11,1.31,93,26,593,5,100%,28,57%,101,56%,24,47,60%,72,4,75%,23,86,35,-,18%,9%,29,2,2,74%,2,5,148,55%,30,47%,14,21%,17,1.5
Pedro Pinho,Chaves,25,2000-04-06,189,Direita,Portugal,€200K,2022-06-30,LCDM,2024/2025,180,30,1941,116,48%,50,44%,53,3,-,-,74,55%,18,44%,3,9,44%,26,2.13,96,27,769,1,100%,16,56%,79,63%,19,55,56%,50,7,43%,49,75,30,1,38%,12%,30,-,-,83%,1,2,160,68%,49,71%,6,17%,16,1.92
Cuca,CF Os Belenenses,34,1991-01-09,177,Ambos,"Cape Verde, Portugal",€75K,2023-06-30,LCDM,2024/2025,169,28,1915,164,52%,77,49%,97,120,7,1,101,51%,25,60%,1,2,50%,8,0.95,90,17,589,7,29%,22,41%,86,62%,20,66,47%,34,11,45%,11,99,33,-,13%,13%,28,14,1,76%,-,3,155,59%,16,38%,6,33%,4,1.63
Dje Davilla,Uniao Desportiva Leiria,22,2003-05-05,190,-,Cote d'Ivoire,-,-,CDM,2024/2025,191,23,1902,139,55%,58,66%,44,29,2,-,93,71%,34,65%,-,6,0%,15,1.04,84,27,972,2,50%,8,0%,84,65%,21,42,64%,51,10,80%,37,123,39,-,33%,0%,31,5,-,88%,-,1,169,71%,32,56%,2,50%,12,0.28
Cícero,Tondela,28,1997-05-10,178,-,Brazil,-,-,LCDM,2024/2025,189,26,1895,119,50%,51,61%,61,7,-,-,63,75%,3,67%,1,9,22%,15,1.4,79,30,799,2,100%,11,45%,80,68%,19,73,62%,20,1,100%,15,63,31,1,20%,7%,23,-,-,83%,-,4,158,72%,23,52%,-,-,20,0.6
André Santos,Uniao Desportiva Oliveirense,36,1989-03-02,180,Direita,Portugal,€25K,2023-06-30,LCDM,2024/2025,166,27,1884,86,43%,29,45%,36,23,-,-,116,47%,44,59%,1,3,33%,16,0.72,122,26,639,6,67%,27,30%,106,59%,22,46,39%,27,14,50%,51,68,29,-,19%,6%,49,3,-,79%,1,7,173,61%,44,55%,4,25%,10,2.1
Roan Wilson,Chaves,23,2002-05-01,184,Direita,Costa Rica,€300K,-,LCDM,2024/2025,179,26,1848,125,56%,51,65%,67,24,3,2,69,57%,16,81%,-,4,25%,7,1.34,53,26,641,-,-,2,50%,36,72%,20,54,44%,23,3,67%,18,83,22,-,57%,0%,23,3,1,89%,-,1,94,78%,14,64%,1,0%,13,0.36
Vítor Gonçalves,Mafra,33,1992-03-29,174,Direita,Portugal,€225K,2023-06-30,LCDM,2024/2025,165,26,1689,60,40%,22,50%,32,3,1,1,85,53%,21,43%,1,6,17%,17,0.84,98,20,697,10,90%,68,46%,103,51%,18,48,50%,26,12,42%,31,56,30,-,29%,6%,35,1,1,76%,2,12,161,60%,37,49%,31,16%,15,3.43
Henrique Jocú,Hapoel Tel Aviv,23,2001-09-09,177,Direita,Portugal,€450K,2024-06-30,LCDM,2024/2025,183,27,1684,122,53%,48,58%,56,88,4,1,81,67%,27,81%,-,4,0%,15,0.71,87,23,1110,3,100%,15,13%,114,70%,15,34,50%,18,8,75%,25,75,32,-,27%,0%,20,7,-,89%,-,4,220,72%,49,51%,6,0%,15,0.65
Rafael Luís,Benfica II,20,2005-02-18,186,Direita,"Portugal, United States of America",-,-,LCDM,2024/2025,173,30,1620,82,50%,32,53%,28,22,1,1,60,65%,27,70%,-,3,0%,20,0.84,99,23,928,5,80%,46,35%,149,60%,17,21,52%,21,9,56%,13,61,26,-,30%,0%,22,1,1,81%,1,6,253,62%,57,35%,9,22%,11,1.3
Samba Koné,Academico Viseu,23,2002-03-22,190,-,"Spain, Mali",€350K,2022-06-30,LCDM,2024/2025,172,26,1558,91,53%,24,75%,36,4,1,-,119,60%,34,68%,2,5,40%,16,1.17,95,18,532,3,100%,9,22%,54,46%,14,76,55%,27,10,60%,15,59,24,-,50%,13%,35,-,1,75%,1,4,102,49%,14,43%,6,17%,7,1.04
Ibrahima,Maritimo,26,1998-10-14,190,-,"Guinea, France",-,2023-06-30,LCDM,2024/2025,188,20,1550,84,63%,28,57%,45,2,2,1,63,63%,21,62%,3,11,27%,21,1.8,49,14,508,6,100%,15,67%,66,61%,19,45,73%,49,6,83%,23,63,24,1,29%,14%,18,-,-,79%,-,7,120,66%,12,58%,5,0%,9,0.87
Castro,Porto II,37,1988-04-02,181,Direita,Portugal,€200K,2023-06-30,RCDM,2024/2025,169,23,1522,99,45%,29,52%,45,5,-,-,44,50%,13,23%,1,5,20%,14,0.84,81,18,622,4,100%,24,50%,94,57%,17,49,39%,32,3,0%,24,76,35,-,7%,7%,27,1,-,79%,1,6,155,57%,39,41%,10,30%,10,0.9
John Kolawole,Mafra U23,20,2004-07-24,178,-,Nigeria,-,-,LCDM,2024/2025,159,27,1522,142,46%,77,43%,70,97,7,3,103,54%,43,70%,-,5,0%,13,1.71,113,32,714,14,57%,41,44%,135,49%,15,28,54%,31,13,62%,16,91,29,-,38%,0%,28,12,1,77%,1,9,200,55%,58,43%,10,20%,17,1.41
Yacouba Maïga,Mafra,21,2004-05-15,,-,Mali,-,-,LCDM,2024/2025,179,20,1477,126,56%,41,56%,58,22,1,-,102,57%,13,38%,1,5,20%,14,1.31,82,15,527,2,100%,15,13%,72,42%,17,106,62%,29,3,33%,22,91,42,-,21%,7%,27,4,-,75%,-,2,117,50%,24,46%,2,0%,8,1.32
Luís Silva,Avs Futebol,32,1992-09-29,185,Canhoto,Portugal,€150K,2023-06-30,LCDM,2024/2025,174,20,1460,75,53%,35,57%,28,-,-,-,31,61%,4,25%,-,3,0%,7,0.44,69,21,563,2,100%,12,25%,66,47%,17,25,52%,38,1,0%,18,49,22,-,0%,0%,23,1,-,81%,1,4,109,53%,26,54%,4,0%,9,1.62
Andrey,Mafra U23,21,2003-06-11,185,-,Brazil,-,-,RCDM,2024/2025,164,22,1445,159,57%,87,57%,64,89,6,3,117,56%,51,67%,1,3,33%,14,0.9,71,21,476,5,20%,18,44%,39,46%,17,29,45%,19,10,80%,42,77,28,-,21%,7%,36,23,-,82%,1,3,90,53%,19,68%,3,67%,6,1.31
Nor Maviram,Tondela,24,2001-04-04,,-,Portugal,-,-,LDM,2024/2025,190,31,1442,64,50%,22,55%,50,21,1,-,81,54%,37,59%,-,6,0%,13,1.09,95,19,589,12,83%,61,49%,65,57%,15,35,49%,20,20,55%,17,60,24,-,23%,0%,29,2,1,73%,3,16,104,56%,20,30%,38,29%,13,5.08
Janickson da Silva,Alverca II,20,2004-12-05,,-,Guinea-Bissau,-,-,LCDM,2024/2025,160,19,1353,99,40%,42,55%,57,93,3,-,155,59%,76,75%,-,3,0%,8,0.66,99,32,561,3,67%,49,51%,56,54%,16,37,43%,14,28,79%,35,46,17,-,13%,0%,48,20,1,81%,1,6,109,61%,13,54%,6,33%,11,1.45
André Simões,Leixoes,35,1989-12-16,177,Direita,Portugal,€75K,2022-06-30,CDM,2024/2025,180,22,1336,131,56%,60,62%,51,41,2,-,49,65%,10,80%,-,1,0%,5,0.19,48,18,612,3,67%,17,53%,76,64%,14,41,49%,32,2,100%,22,85,31,-,20%,0%,13,1,-,83%,1,3,129,64%,17,47%,7,29%,10,0.47
Momo Diaby,Portimonense SC,28,1996-09-03,197,Direita,France,€300K,2024-06-30,RCDM,2024/2025,183,18,1238,79,65%,24,75%,32,6,-,-,71,69%,21,76%,-,2,50%,11,1.26,41,14,389,1,100%,6,17%,38,47%,14,54,76%,23,3,67%,23,59,17,-,18%,0%,17,-,1,84%,-,2,79,56%,14,64%,3,0%,6,0.4
André Oliveira,Porto II,19,2005-10-01,186,Direita,Portugal,-,-,RCDM,2024/2025,181,20,1215,102,48%,47,36%,31,13,-,-,66,53%,31,45%,1,6,17%,11,1.16,73,24,643,5,100%,17,65%,83,67%,13,36,64%,17,9,33%,13,60,28,-,36%,9%,23,1,-,84%,1,7,136,72%,37,51%,2,100%,13,0.98
Sabino,Uberlandia,26,1999-05-18,180,Direita,Brazil,-,-,LCDM,2024/2025,167,24,1190,88,50%,27,37%,29,3,1,-,49,57%,13,54%,-,5,0%,13,0.95,62,14,521,3,100%,12,25%,86,57%,10,51,55%,38,4,50%,28,79,27,-,23%,0%,17,-,2,73%,1,4,142,58%,35,40%,2,0%,8,0.65
Ricardo Dias,Futebol Clube De Alverca,34,1991-02-25,189,Direita,Portugal,-,2024-06-30,LCDM,2024/2025,181,25,1142,94,60%,23,43%,59,23,5,2,35,63%,4,100%,-,1,0%,3,0.33,40,12,468,1,100%,7,43%,67,70%,9,60,67%,21,-,-,14,76,23,-,33%,0%,12,1,-,84%,-,2,107,74%,18,50%,-,-,8,0.31
João Veloso,Benfica II,19,2005-06-26,185,Direita,Portugal,-,-,RCDM,2024/2025,175,28,1140,67,57%,29,62%,16,6,1,-,54,39%,20,55%,1,2,50%,11,1.26,54,13,449,5,80%,24,42%,53,62%,8,16,50%,25,11,45%,14,34,17,1,27%,9%,27,-,1,80%,2,6,100,61%,13,46%,9,44%,6,2.05
Francisco Varela,Portimonense SC,24,2000-08-20,183,Direita,Portugal,-,2022-05-31,RCDM,2024/2025,169,18,1135,67,57%,27,59%,31,16,4,1,29,52%,8,50%,-,3,0%,8,0.13,33,11,310,-,-,9,33%,26,35%,14,24,58%,25,2,100%,23,39,16,-,13%,0%,9,1,-,78%,-,-,58,43%,14,29%,2,0%,4,-
Cihan Kahraman,Academico Viseu,26,1998-10-08,175,Direita,"Germany, Turkey",€200K,2025-06-30,RCDM,2024/2025,168,22,1090,63,30%,21,29%,20,12,-,-,66,41%,26,50%,1,1,100%,16,0.69,58,11,465,8,63%,45,36%,49,61%,13,24,29%,26,10,60%,15,30,15,-,31%,6%,26,1,-,78%,1,6,73,62%,24,71%,10,20%,7,0.71
Diogo Amado,Uniao Desportiva Leiria,35,1990-01-21,178,Direita,Portugal,€50K,2022-06-30,LCDM,2024/2025,182,18,1073,62,56%,22,59%,39,5,-,-,21,52%,7,57%,-,-,-,2,0.04,42,13,550,-,-,5,0%,43,60%,10,27,52%,11,2,50%,10,69,20,-,0%,0%,12,1,-,89%,-,-,85,71%,18,44%,-,-,6,0.22
Pedro Tiba,Chaves,36,1988-08-31,174,Direita,Portugal,€150K,2024-06-30,LCDM,2024/2025,174,20,1036,49,49%,20,50%,23,21,-,-,49,43%,17,47%,1,2,50%,17,1.16,76,13,468,5,80%,29,34%,77,55%,13,10,40%,16,4,25%,10,33,13,-,35%,6%,22,1,-,77%,1,6,125,57%,25,40%,8,0%,8,0.6
Francisco França,Maritimo,23,2002-02-16,186,Canhoto,Portugal,-,2025-06-30,RCDM,2024/2025,174,25,1008,54,50%,18,50%,27,30,1,1,40,45%,6,33%,1,5,20%,28,0.88,77,9,428,5,100%,38,24%,64,59%,9,37,46%,35,3,33%,12,48,21,-,25%,4%,31,3,-,77%,3,8,98,56%,30,37%,25,28%,1,1.47
Hugues Evrard Hugues Evrard,-,35,1990-05-04,170,Direita,Cote d'Ivoire,€50K,2021-06-30,LCDM,2024/2025,168,17,997,47,45%,18,56%,26,-,-,-,24,50%,1,0%,-,1,100%,5,0.15,32,8,313,-,-,6,17%,49,61%,10,27,30%,23,-,-,19,36,19,-,20%,0%,6,-,-,81%,-,1,69,58%,23,52%,-,-,5,0.41
Rúben Pinto,Sport Clube Uniao Torreense,33,1992-04-24,183,Direita,Portugal,€300K,2024-06-30,RCDM,2024/2025,170,19,969,52,65%,19,53%,25,3,-,-,27,74%,3,67%,-,-,-,3,0.05,47,16,404,1,0%,25,44%,66,47%,13,29,69%,17,-,-,6,42,16,-,0%,0%,9,-,-,78%,-,-,105,54%,33,42%,2,0%,10,1.09
