Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Pité,Sport Clube Uniao Torreense,30,1994-08-22,189,Canhoto,Portugal,€150K,2024-06-30,RCDM,2024/2025,168,19,574,23,65%,8,75%,9,1,-,-,50,50%,12,67%,-,5,0%,15,1.41,25,6,150,2,50%,5,40%,17,53%,2,27,48%,15,5,80%,7,14,6,-,20%,0%,14,1,-,77%,1,2,34,56%,3,67%,4,50%,1,0.26
Moudja Sie Ouattara,Tondela,23,2002-05-20,,Canhoto,"France, Cote d'Ivoire",€200K,-,LDM,2024/2025,174,14,543,21,57%,6,83%,10,-,-,-,37,41%,20,50%,2,3,67%,9,0.45,37,2,122,2,100%,6,17%,12,50%,3,8,13%,12,13,54%,19,13,4,-,22%,22%,24,-,1,75%,-,2,13,54%,4,50%,15,27%,1,0.88
Alamara Viriato Djabi,Mafra U23,18,2006-09-28,,-,Portugal,-,-,LCDM,2024/2025,155,10,480,29,34%,11,36%,11,15,-,-,35,51%,7,43%,-,2,0%,5,0.27,30,9,215,6,100%,2,100%,24,75%,6,16,50%,9,-,-,4,15,6,-,20%,0%,16,5,1,85%,1,6,41,71%,3,67%,1,0%,3,1.4
Paul Okon,Benfica II,20,2005-01-24,183,-,Portugal,-,-,RCDM,2024/2025,174,11,433,35,57%,16,81%,27,20,-,-,18,61%,8,88%,-,1,0%,1,0.3,20,9,253,1,100%,7,14%,39,67%,4,10,30%,8,1,100%,2,37,14,-,100%,0%,3,2,-,84%,-,1,54,74%,12,25%,-,-,6,-
Paulo Estrela,Sk?nderbeu,26,1999-02-20,171,Direita,Portugal,€400K,2022-06-30,LCDM,2024/2025,188,5,408,36,44%,16,56%,22,24,2,-,22,73%,3,100%,-,-,-,4,0.12,23,7,203,3,100%,20,35%,26,62%,4,16,44%,4,2,100%,6,20,4,-,75%,0%,2,2,-,77%,-,3,41,66%,13,69%,4,25%,6,0.48
Tiago Ribeiro,Valencia II,23,2002-03-14,185,Canhoto,Portugal,€200K,2021-06-30,LCDM,2024/2025,159,11,365,27,52%,11,73%,7,-,-,-,12,25%,2,0%,-,1,0%,8,0.25,23,6,169,2,100%,16,19%,22,64%,2,9,33%,10,1,0%,5,13,2,-,25%,0%,11,-,-,78%,-,1,32,69%,11,45%,7,0%,3,0.53
Rafa,Tirana,25,2000-02-15,,-,Portugal,-,-,LCDM,2024/2025,188,8,360,36,53%,14,64%,21,29,-,-,28,61%,4,75%,1,2,50%,6,0.28,17,1,181,2,50%,12,42%,23,74%,3,12,42%,8,-,-,11,15,6,1,50%,17%,7,-,-,82%,-,2,35,77%,8,88%,2,0%,-,0.34
Dani Bolt,Sport Clube Uniao Torreense,25,1999-06-18,183,Direita,Brazil,€400K,2020-04-30,RDM,2024/2025,207,3,305,20,85%,13,85%,17,10,-,-,23,52%,13,38%,-,-,-,3,0.06,21,5,104,3,67%,16,38%,10,70%,3,5,100%,2,6,33%,5,16,5,-,33%,0%,8,-,1,73%,-,2,13,62%,4,25%,10,20%,2,0.61
Eboue Kouassi,FC Arouca,27,1997-12-13,185,Direita,Cote d'Ivoire,€600K,2024-06-30,RCDM,2024/2025,188,5,258,17,71%,7,57%,5,-,-,-,11,91%,-,-,1,1,100%,1,0.31,8,2,101,-,-,2,0%,7,29%,2,15,87%,3,-,-,1,13,5,1,100%,100%,2,-,-,87%,-,1,12,67%,4,25%,-,-,1,0.08
Alex Soares,Portimonense SC,34,1991-03-01,179,Direita,Portugal,€200K,2021-06-30,CDM,2024/2025,171,6,236,20,45%,8,63%,9,1,-,-,4,25%,2,50%,-,-,-,-,-,12,2,71,-,-,3,33%,14,43%,1,2,0%,7,-,-,5,7,2,-,-,-,4,-,-,72%,-,-,28,64%,6,50%,1,0%,-,0.14
Edu Pinheiro,Penafiel,27,1997-11-08,189,Direita,Portugal,€175K,2020-06-30,LCDM,2024/2025,165,8,233,14,71%,4,75%,10,3,1,-,8,50%,1,100%,-,1,0%,-,-,4,2,66,-,-,2,0%,7,100%,1,5,20%,6,-,-,2,7,2,-,-,-,2,-,-,86%,1,1,16,75%,3,67%,2,0%,1,0.16
Rodrigo Andrade,Maritimo,23,2001-11-24,180,Direita,Portugal,-,2023-06-30,RCDM,2024/2025,168,7,226,15,67%,4,75%,4,-,-,-,10,30%,3,33%,-,-,-,1,0.01,15,2,74,-,-,1,0%,12,50%,3,8,63%,4,3,33%,4,11,5,-,0%,0%,8,-,-,77%,-,-,14,50%,2,50%,1,0%,1,0.03
Lucho Vega,Uniao Desportiva Leiria,26,1999-04-09,185,Direita,Argentina,€350K,2025-06-30,LDM,2024/2025,187,6,195,6,33%,1,0%,11,9,1,-,15,67%,2,50%,3,6,50%,6,1.43,13,1,73,-,-,3,100%,8,50%,2,11,73%,1,-,-,5,3,2,1,67%,50%,4,-,2,73%,1,2,16,69%,2,50%,-,-,1,0.84
Mateus Sarará,Guarani,22,2002-06-29,181,Direita,Brazil,-,2024-12-31,RCDM,2024/2025,169,4,171,11,36%,2,0%,8,11,1,1,13,54%,2,100%,-,-,-,-,-,10,3,57,-,-,3,33%,10,40%,1,8,25%,8,-,-,2,8,2,-,-,-,3,-,-,79%,-,-,16,50%,2,100%,1,100%,1,-
Andrea Dacourt,-,19,2005-07-30,,-,France,-,-,LCDM,2024/2025,160,4,151,19,53%,7,57%,7,12,-,-,16,44%,6,33%,-,-,-,1,0.03,12,6,82,1,0%,1,0%,10,70%,2,3,33%,8,2,50%,6,12,6,-,100%,0%,5,-,-,77%,-,-,12,67%,-,-,-,-,3,0.05
Hirotaka Mita,FC Tokyo,34,1990-09-14,173,Canhoto,Japan,€325K,2023-01-31,LCDM,2024/2025,156,6,145,6,33%,3,0%,5,-,-,-,7,57%,3,67%,-,1,0%,4,0.44,7,1,60,2,100%,2,50%,7,71%,1,2,100%,4,2,50%,1,9,5,-,0%,0%,4,-,1,85%,-,2,16,75%,5,60%,1,0%,1,0.14
Samad Popoola,Feirense,20,2005-06-01,,-,Nigeria,-,-,RCDM,2024/2025,-,2,69,2,100%,-,-,1,-,-,-,2,100%,2,100%,-,-,-,2,0.02,1,-,29,-,-,-,-,1,100%,1,1,100%,3,-,-,2,2,1,-,0%,0%,-,-,-,93%,-,-,3,67%,-,-,-,-,-,-
João Leal,Penafiel,19,2005-11-10,,-,Portugal,-,-,LCDM,2024/2025,-,4,44,4,75%,2,50%,-,-,-,-,2,0%,-,-,-,-,-,1,0.02,4,1,13,-,-,1,0%,2,100%,-,2,50%,-,-,-,-,-,-,-,0%,0%,3,1,-,92%,-,-,4,75%,1,0%,1,0%,-,-
Neto,Penafiel,25,2000-03-27,,-,Brazil,-,-,LCDM,2024/2025,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
