Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Escalações no time titular,Minutos jogados,Disputas aéreas,"Desafios aéreos vencidos, %",Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Faltas,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas no campo do adversário,Gols,Gols de cabeça,Chances de gol,"Chances c/ sucesso, %",Chutes,"Chutes no gol, %","Gols marcados do número total de chutes, %",Xg,Bolas perdidas,Perdas individuais,Controle de bola ruim,Impedimentos,Assistências,Chances criadas,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",xA
Deniz Gül,FC Porto,20,2004-07-02,,-,Sweden,-,-,CF,2024/2025,180,19,5,627,33,36%,24,33%,8,50%,4,12,68,32%,13,31%,5,8,2,-,12,17%,15,33%,13%,2.95,44,34,2,5,-,7,4,100%,6,100%,0.47
Jô,Turan,30,1995-05-01,192,Canhoto,Brazil,€200K,2022-06-30,CF,2024/2025,165,13,5,560,70,40%,19,26%,4,50%,7,19,131,39%,5,0%,17,2,2,1,8,25%,11,55%,18%,2.06,80,59,5,5,-,3,4,75%,4,25%,0.18
Joanderson,Olancho,29,1996-02-16,180,Canhoto,Brazil,-,2021-01-31,RCF,2024/2025,188,16,4,557,21,24%,46,30%,26,31%,20,17,67,43%,9,67%,17,5,2,-,5,40%,16,31%,13%,2.55,53,27,7,-,-,8,5,100%,9,78%,0.83
Luccas Paraizo Feitosa,Sport Clube Uniao Torreense,22,2002-07-05,,-,Brazil,-,-,CF,2024/2025,173,13,4,543,24,25%,24,33%,10,30%,8,12,58,31%,4,50%,6,3,2,-,6,33%,8,38%,25%,1.75,29,20,3,1,1,3,3,33%,2,50%,0.41
Kibe,Leixoes,25,2000-03-13,191,Direita,Brazil,€100K,2024-06-30,CF,2024/2025,157,9,3,482,43,42%,16,31%,2,50%,9,17,55,47%,4,25%,17,4,1,-,4,25%,10,30%,10%,1.73,52,34,-,10,-,1,1,100%,6,67%,0.15
Rodrigo Martins,Portimonense SC,26,1998-09-15,177,Direita,Portugal,€300K,2026-06-30,LCF,2024/2025,161,12,4,430,14,21%,22,36%,7,57%,1,12,35,51%,11,55%,9,4,1,-,4,25%,9,33%,11%,0.89,40,22,-,4,-,3,1,100%,9,78%,0.35
Afonso Rodrigues,Famalicao U23,22,2002-08-19,,-,Portugal,€200K,-,RCF,2024/2025,158,10,6,428,19,42%,20,45%,5,20%,9,7,46,43%,12,33%,8,5,-,-,4,0%,12,17%,0%,0.98,31,19,1,1,-,4,2,100%,4,75%,0.18
Jorge Meireles,Porto II,21,2004-04-04,168,Direita,Portugal,€650K,2023-06-30,LCF,2024/2025,161,10,3,363,11,45%,20,20%,5,40%,-,4,18,39%,2,0%,14,1,-,-,-,-,4,25%,0%,0.21,21,9,-,-,-,5,5,100%,9,56%,0.95
Olamide Shodipo,Feirense,27,1997-07-05,176,Direita,"Ireland, Nigeria",€175K,2023-06-30,LCF,2024/2025,159,16,-,353,3,0%,6,67%,1,100%,2,5,18,44%,3,33%,7,2,1,-,4,25%,7,29%,14%,0.5,16,10,-,2,-,1,1,100%,3,67%,0.27
Preslav Borukov,Maritimo,25,2000-04-23,189,Direita,Bulgaria,€500K,2023-06-30,CF,2024/2025,153,8,2,312,24,58%,8,50%,1,100%,4,9,28,61%,2,0%,-,2,-,-,2,0%,9,44%,0%,1.97,19,10,-,3,-,-,-,-,4,25%,0.02
