Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Francisco Gomes,Maritimo Madeira II,21,2004-04-14,175,-,Portugal,€200K,-,LAM,2024/2025,167,21,962,65,49%,30,63%,27,37,2,-,177,42%,67,61%,2,10,30%,15,2.63,100,20,264,5,60%,26,69%,21,62%,8,43,21%,27,39,54%,33,27,8,1,67%,13%,75,11,6,80%,1,7,49,65%,4,50%,9,33%,7,3.87
Sylvester Jasper,Portimonense SC,23,2001-09-13,180,Direita,"Bulgaria, England",€700K,2023-06-30,LAM,2024/2025,174,20,831,42,29%,12,42%,9,-,-,-,55,38%,22,36%,-,5,0%,16,1.46,60,9,270,5,100%,13,38%,16,69%,8,33,15%,13,13,46%,19,10,4,-,50%,0%,38,-,1,84%,2,5,31,68%,4,75%,22,32%,2,1.44
Famana Quizera,Academico Viseu,23,2002-04-25,172,Direita,"Portugal, Guinea-Bissau",€500K,2026-06-30,LM,2024/2025,170,17,730,39,44%,15,33%,10,12,-,-,67,42%,32,38%,-,3,0%,15,0.79,59,6,233,2,50%,17,35%,32,63%,6,8,25%,17,13,31%,16,25,10,-,27%,0%,30,1,1,72%,1,4,58,60%,9,22%,15,27%,2,1.68
Lorougnon Joel Neville Biagne Gohi,Academico Viseu U23,20,2004-08-10,,-,Cote d'Ivoire,-,-,LAM,2024/2025,175,12,701,29,66%,16,75%,16,34,2,1,107,56%,69,67%,3,8,38%,13,1.44,62,10,247,14,43%,22,55%,19,68%,5,7,29%,7,34,68%,19,18,9,-,38%,23%,35,7,3,79%,3,14,42,64%,8,50%,15,27%,4,2.24
Chico Teixeira,Penafiel,27,1998-04-26,180,Canhoto,Portugal,€250K,2025-06-30,LAM,2024/2025,178,11,662,46,43%,24,46%,19,16,-,-,46,43%,15,33%,-,2,0%,7,0.59,38,9,236,7,57%,32,44%,25,64%,9,21,48%,15,5,40%,15,22,6,-,57%,0%,15,3,3,72%,-,5,32,69%,10,40%,14,14%,4,3.02
Pedro Silva,Maritimo Madeira II,23,2002-03-26,172,Ambos,Portugal,-,-,LM,2024/2025,175,15,575,33,61%,16,63%,15,13,-,-,32,41%,10,50%,-,1,0%,9,0.23,32,6,211,2,100%,21,43%,25,68%,7,13,38%,14,5,40%,3,18,4,-,22%,0%,18,2,-,87%,1,2,45,73%,7,57%,9,22%,1,1.18
Tiago Moninhas,CF Os Belenenses,22,2003-04-25,,-,Portugal,-,-,LM,2024/2025,168,15,460,48,33%,18,39%,15,21,1,-,91,38%,38,58%,-,4,0%,9,2,49,9,149,3,33%,8,38%,15,67%,4,19,21%,9,16,50%,12,11,2,-,22%,0%,30,4,-,76%,-,1,27,74%,1,0%,10,10%,3,0.49
Amine Rehmi,Rio Ave FC,23,2002-04-01,,-,Netherlands,-,-,LAM,2024/2025,163,19,458,9,33%,2,0%,2,1,-,-,26,27%,11,18%,1,4,25%,12,0.73,48,4,112,3,100%,17,29%,7,43%,2,9,33%,4,8,13%,2,8,5,-,58%,8%,30,1,-,69%,-,4,15,60%,7,57%,29,10%,2,0.26
Lucas Gabriel,Mafra,23,2001-08-01,182,Direita,"Brazil, Portugal",€325K,2022-06-30,LM,2024/2025,164,12,456,18,50%,7,43%,9,-,-,-,35,54%,15,40%,1,4,25%,15,0.91,33,3,128,2,100%,16,19%,22,55%,5,9,56%,7,11,27%,14,10,3,-,33%,7%,15,-,1,68%,2,4,27,59%,13,31%,12,17%,1,0.84
Brayan Mateo Caicedo Ramos,-,18,2006-08-14,,-,Colombia,-,-,LAM,2024/2025,165,11,411,32,50%,12,58%,7,-,-,-,33,48%,14,57%,1,3,33%,5,1.28,28,9,75,1,100%,-,-,5,100%,2,8,25%,8,7,57%,7,16,7,-,60%,20%,19,-,-,73%,-,1,10,100%,-,-,5,20%,4,0.5
