Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Lenny Lacroix,Benfica II,22,2003-02-06,186,Direita,France,€1000K,2023-06-30,LCD,2024/2025,180,11,602,29,76%,4,75%,19,3,2,1,18,56%,2,50%,1,2,50%,3,0.4,35,11,351,-,-,10,0%,40,40%,4,33,70%,9,-,-,5,40,7,1,33%,33%,5,1,-,81%,1,1,92,53%,31,29%,-,-,8,0.1
Douglas Ricardo Grolli,Avispa Fukuoka,35,1989-10-05,189,Direita,"Brazil, Italy",€500K,2023-01-31,LCD,2024/2025,187,7,587,45,78%,12,83%,20,-,-,-,17,82%,2,50%,1,3,33%,3,0.52,23,4,197,-,-,3,0%,26,38%,7,33,73%,13,-,-,8,33,9,1,67%,33%,5,-,-,74%,1,-,45,31%,19,26%,1,0%,2,0.64
Marco Tol,FC Vizela U23,27,1998-04-25,189,Direita,Netherlands,€450K,2024-06-30,RCD,2024/2025,171,11,567,18,61%,5,80%,16,7,-,-,10,50%,2,50%,1,2,50%,3,0.39,27,7,333,1,0%,3,67%,40,68%,5,14,50%,7,1,0%,-,31,6,1,67%,33%,7,-,-,87%,-,-,60,60%,20,70%,3,0%,5,0.12
Iago Mendonça,Futebol Clube De Alverca,25,1999-08-16,194,Direita,Brazil,€125K,2022-12-31,LCD,2024/2025,181,9,479,36,67%,8,75%,30,22,2,1,13,54%,1,100%,-,-,-,3,0.34,21,9,205,1,100%,2,0%,26,58%,4,22,59%,7,-,-,-,30,6,-,33%,0%,4,-,-,82%,-,1,49,55%,22,45%,-,-,7,0.17
Tiago Matos,Sport Clube Uniao Torreense,24,2001-01-22,178,Direita,Portugal,€100K,2024-06-30,RCD,2024/2025,182,9,417,25,80%,10,70%,20,18,1,1,17,35%,8,38%,-,1,0%,-,-,14,6,157,2,100%,10,70%,12,83%,3,9,78%,5,4,50%,7,14,3,-,-,-,5,2,-,80%,1,2,42,76%,7,71%,4,75%,4,0.51
Lucão,Uniao Desportiva Oliveirense,27,1998-03-25,188,Direita,Brazil,-,-,RCD,2024/2025,205,5,348,48,77%,14,86%,34,23,-,-,18,67%,7,86%,1,2,50%,6,0.64,20,5,179,1,0%,3,0%,27,56%,4,27,67%,4,-,-,2,30,4,-,50%,17%,4,-,2,82%,-,2,53,68%,24,50%,1,0%,4,0.05
Marco Baixinho,Uniao Desportiva Leiria,35,1989-07-11,187,Direita,Portugal,€150K,2024-05-31,RCD,2024/2025,177,4,316,10,50%,3,33%,7,-,-,-,3,67%,-,-,-,-,-,-,-,12,1,126,-,-,2,0%,14,57%,3,8,50%,9,-,-,2,13,-,-,-,-,-,-,-,82%,-,-,30,57%,20,50%,-,-,1,-
Marvin Elimbi,Sport Clube Uniao Torreense,22,2003-02-20,186,Direita,"France, Cameroon",€550K,2023-06-30,RCD,2024/2025,177,8,311,15,73%,5,100%,10,8,2,-,13,62%,1,100%,1,3,33%,4,1.14,6,3,101,-,-,1,0%,8,63%,3,10,80%,10,-,-,1,15,5,-,50%,25%,2,1,-,86%,-,1,18,72%,3,33%,-,-,2,0.64
Diogo Brito,Penafiel,25,1999-06-16,190,Direita,Portugal,€125K,2022-06-30,RCD,2024/2025,168,11,262,11,73%,4,50%,7,7,1,-,8,25%,-,-,-,2,0%,2,0.14,10,1,52,2,0%,1,0%,14,71%,1,9,33%,4,-,-,-,10,4,-,0%,0%,1,-,-,71%,-,-,17,71%,7,29%,-,-,1,-
Jordi Pola,Tondela,25,2000-04-12,191,Direita,Spain,€225K,2022-06-30,RCD,2024/2025,175,5,133,13,69%,1,100%,2,2,2,1,4,75%,-,-,-,-,-,2,0.14,9,2,45,1,100%,1,100%,9,22%,1,14,64%,2,-,-,1,4,-,-,50%,0%,-,-,-,64%,-,1,16,19%,7,29%,-,-,2,-
